preDexNum,preId,preFormKey,evoDexNum,evoId,evoFormKey,en,es-ES,es-419,fr,it,de,zh-Hans,zh-Hant,pt-BR,ko,ja,ca,eu,da,th,tr,ro,ru,id,hi,tl,nb-NO,sv,uk,vi,pl
27,SANDSHREW,,28,SANDSLASH,,At Level 22,Al Nv.22,At Level 22,Au N. 22,Al Livello 22,Auf Lv. 22,在等级22,在等級22,No Nível 22,레벨 22,Lv.22で,Al nivell 22,At Level 22,At Level 22,At Level 22,At Level 22,At Level 22,На 22 Ур.,At Level 22,At Level 22,At Level 22,At Level 22,Vid nivå 22,At Level 22,Ở Cấp 22,Na Poziomie 22
29,NIDORAN_F,,30,NIDORINA,,At Level 16,Al Nv.16,At Level 16,Au N. 16,Al Livello 16,Auf Lv. 16,在等级16,在等級16,No Nível 16,레벨 16,Lv.16で,Al nivell 16,At Level 16,At Level 16,At Level 16,At Level 16,At Level 16,На 16 Ур.,At Level 16,At Level 16,At Level 16,At Level 16,Vid nivå 16,At Level 16,Ở Cấp 16,Na Poziomie 16
30,NIDORINA,,31,NIDOQUEEN,,Use the Moon Stone (Great),Usa Piedra Lunar (Súper),Use the Piedra Lunar (Great),Avec l’objet Pierre Lune (Super),Con l’oggetto Pietralunare(Mega),Benötigt Mondstein (Super),使用月之石 (超级球),使用月之石 (超級球),Use Pedra da Lua (Super),아이템 사용: 달의돌 (슈퍼),つきのいし (スーパー)を 使う,Utilitza l’objecte Moon Stone (Súper),Use the Moon Stone (Great),Use the Moon Stone (Great),Use the Moon Stone (Great),Use the Ay Taşı (Great),Use the Moon Stone (Great),Используйте Лунный Камень Мега,Use the Moon Stone (Great),Use the Moon Stone (Great),Use the Moon Stone (Great),Use the Moon Stone (Great),Använd förmålet Månsten (Super),Use the Місячний Камінь (Great),Sử dụng vật phẩm Moon Stone (Great),Use the Moon Stone (Great)
32,NIDORAN_M,,33,NIDORINO,,At Level 16,Al Nv.16,At Level 16,Au N. 16,Al Livello 16,Auf Lv. 16,在等级16,在等級16,No Nível 16,레벨 16,Lv.16で,Al nivell 16,At Level 16,At Level 16,At Level 16,At Level 16,At Level 16,На 16 Ур.,At Level 16,At Level 16,At Level 16,At Level 16,Vid nivå 16,At Level 16,Ở Cấp 16,Na Poziomie 16
33,NIDORINO,,34,NIDOKING,,Use the Moon Stone (Great),Usa Piedra Lunar (Súper),Use the Piedra Lunar (Great),Avec l’objet Pierre Lune (Super),Con l’oggetto Pietralunare(Mega),Benötigt Mondstein (Super),使用月之石 (超级球),使用月之石 (超級球),Use Pedra da Lua (Super),아이템 사용: 달의돌 (슈퍼),つきのいし (スーパー)を 使う,Utilitza l’objecte Moon Stone (Súper),Use the Moon Stone (Great),Use the Moon Stone (Great),Use the Moon Stone (Great),Use the Ay Taşı (Great),Use the Moon Stone (Great),Используйте Лунный Камень Мега,Use the Moon Stone (Great),Use the Moon Stone (Great),Use the Moon Stone (Great),Use the Moon Stone (Great),Använd förmålet Månsten (Super),Use the Місячний Камінь (Great),Sử dụng vật phẩm Moon Stone (Great),Use the Moon Stone (Great)
35,CLEFAIRY,,36,CLEFABLE,,Use the Moon Stone (Great),Usa Piedra Lunar (Súper),Use the Piedra Lunar (Great),Avec l’objet Pierre Lune (Super),Con l’oggetto Pietralunare(Mega),Benötigt Mondstein (Super),使用月之石 (超级球),使用月之石 (超級球),Use Pedra da Lua (Super),아이템 사용: 달의돌 (슈퍼),つきのいし (スーパー)を 使う,Utilitza l’objecte Moon Stone (Súper),Use the Moon Stone (Great),Use the Moon Stone (Great),Use the Moon Stone (Great),Use the Ay Taşı (Great),Use the Moon Stone (Great),Используйте Лунный Камень Мега,Use the Moon Stone (Great),Use the Moon Stone (Great),Use the Moon Stone (Great),Use the Moon Stone (Great),Använd förmålet Månsten (Super),Use the Місячний Камінь (Great),Sử dụng vật phẩm Moon Stone (Great),Use the Moon Stone (Great)
37,VULPIX,,38,NINETALES,,Use the Fire Stone (Great),Usa Piedra Fuego (Súper),Use the Piedra Fuego (Great),Avec l’objet Pierre Feu (Super),Con l’oggetto Pietrafocaia(Mega),Benötigt Feuerstein (Super),使用火之石 (超级球),使用火之石 (超級球),Use Pedra do Fogo (Super),아이템 사용: 불꽃의돌 (슈퍼),ほのおのいし (スーパー)を 使う,Utilitza l’objecte Fire Stone (Súper),Use the Fire Stone (Great),Use the Fire Stone (Great),Use the Fire Stone (Great),Use the Ateş Taşı (Great),Use the Fire Stone (Great),Используйте Огненный Камень Мега,Use the Batu Api (Great),Use the Fire Stone (Great),Use the Fire Stone (Great),Use the Fire Stone (Great),Använd förmålet Eldsten (Super),Use the Вогняний Камінь (Great),Sử dụng vật phẩm Fire Stone (Great),Use the Fire Stone (Great)
39,JIGGLYPUFF,,40,WIGGLYTUFF,,Use the Moon Stone (Great),Usa Piedra Lunar (Súper),Use the Piedra Lunar (Great),Avec l’objet Pierre Lune (Super),Con l’oggetto Pietralunare(Mega),Benötigt Mondstein (Super),使用月之石 (超级球),使用月之石 (超級球),Use Pedra da Lua (Super),아이템 사용: 달의돌 (슈퍼),つきのいし (スーパー)を 使う,Utilitza l’objecte Moon Stone (Súper),Use the Moon Stone (Great),Use the Moon Stone (Great),Use the Moon Stone (Great),Use the Ay Taşı (Great),Use the Moon Stone (Great),Используйте Лунный Камень Мега,Use the Moon Stone (Great),Use the Moon Stone (Great),Use the Moon Stone (Great),Use the Moon Stone (Great),Använd förmålet Månsten (Super),Use the Місячний Камінь (Great),Sử dụng vật phẩm Moon Stone (Great),Use the Moon Stone (Great)
41,ZUBAT,,42,GOLBAT,,At Level 22,Al Nv.22,At Level 22,Au N. 22,Al Livello 22,Auf Lv. 22,在等级22,在等級22,No Nível 22,레벨 22,Lv.22で,Al nivell 22,At Level 22,At Level 22,At Level 22,At Level 22,At Level 22,На 22 Ур.,At Level 22,At Level 22,At Level 22,At Level 22,Vid nivå 22,At Level 22,Ở Cấp 22,Na Poziomie 22
42,GOLBAT,,169,CROBAT,,With high friendship,Teniendo suficiente amistad,With high friendship,Bonheur élevé,Con sufficiente amicizia,Mit hoher Zutraulichkeit,高亲密度,高親密度,Tendo amizade alta,특정 친밀도 이상일 때,仲良し度が 高ければ,With high friendship,With high friendship,With high friendship,With high friendship,With high friendship,With high friendship,С высокой дружбой,With high friendship,With high friendship,With high friendship,With high friendship,Med hög vänskap,With high friendship,Với điểm tình bạn cao,With high friendship
43,ODDISH,,44,GLOOM,,At Level 21,Al Nv.21,At Level 21,Au N. 21,Al Livello 21,Auf Lv. 21,在等级21,在等級21,No Nível 21,레벨 21,Lv.21で,Al nivell 21,At Level 21,At Level 21,At Level 21,At Level 21,At Level 21,На 21 Ур.,At Level 21,At Level 21,At Level 21,At Level 21,Vid nivå 21,At Level 21,Ở Cấp 21,Na Poziomie 21
44,GLOOM,,45,VILEPLUME,,Use the Leaf Stone (Great),Usa Piedra Hoja (Súper),Use the Piedra Hoja (Great),Avec l’objet Pierre Plante (Super),Con l’oggetto Pietrafoglia(Mega),Benötigt Blattstein (Super),使用叶之石 (超级球),使用葉之石 (超級球),Use Pedra da Folha (Super),아이템 사용: 리프의돌 (슈퍼),リーフのいし (スーパー)を 使う,Utilitza l’objecte Leaf Stone (Súper),Use the Leaf Stone (Great),Use the Leaf Stone (Great),Use the Leaf Stone (Great),Use the Yaprak Taşı (Great),Use the Leaf Stone (Great),Используйте Лиственный Камень Мега,Use the Leaf Stone (Great),Use the Leaf Stone (Great),Use the Leaf Stone (Great),Use the Leaf Stone (Great),Använd förmålet Lövsten (Super),Use the Листовий Камінь (Great),Sử dụng vật phẩm Leaf Stone (Great),Use the Leaf Stone (Great)
44,GLOOM,,182,BELLOSSOM,,Use the Sun Stone (Great),Usa Piedra Solar (Súper),Use the Piedra Solar (Great),Avec l’objet Pierre Soleil (Super),Con l’oggetto Pietrasolare(Mega),Benötigt Sonnenstein (Super),使用日之石 (超级球),使用日之石 (超級球),Use Pedra do Sol (Super),아이템 사용: 태양의돌 (슈퍼),たいようのいし (スーパー)を 使う,Utilitza l’objecte Sun Stone (Súper),Use the Sun Stone (Great),Use the Sun Stone (Great),Use the หินพระอาทิตย์ (Great),Use the Güneş Taşı (Great),Use the Sun Stone (Great),Используйте Солнечный Камень Мега,Use the Batu Mentari (Great),Use the सन स्टोन (Great),Use the Sun Stone (Great),Use the Sun Stone (Great),Använd förmålet Solsten (Super),Use the Сонячний Камінь (Great),Sử dụng vật phẩm Sun Stone (Great),Use the Sun Stone (Great)
46,PARAS,,47,PARASECT,,At Level 24,Al Nv.24,At Level 24,Au N. 24,Al Livello 24,Auf Lv. 24,在等级24,在等級24,No Nível 24,레벨 24,Lv.24で,Al nivell 24,At Level 24,At Level 24,At Level 24,At Level 24,At Level 24,На 24 Ур.,At Level 24,At Level 24,At Level 24,At Level 24,Vid nivå 24,At Level 24,Ở Cấp 24,Na Poziomie 24
48,VENONAT,,49,VENOMOTH,,At Level 31,Al Nv.31,At Level 31,Au N. 31,Al Livello 31,Auf Lv. 31,在等级31,在等級31,No Nível 31,레벨 31,Lv.31で,Al nivell 31,At Level 31,At Level 31,At Level 31,At Level 31,At Level 31,На 31 Ур.,At Level 31,At Level 31,At Level 31,At Level 31,Vid nivå 31,At Level 31,Ở Cấp 31,Na Poziomie 31
50,DIGLETT,,51,DUGTRIO,,At Level 26,Al Nv.26,At Level 26,Au N. 26,Al Livello 26,Auf Lv. 26,在等级26,在等級26,No Nível 26,레벨 26,Lv.26で,Al nivell 26,At Level 26,At Level 26,At Level 26,At Level 26,At Level 26,На 26 Ур.,At Level 26,At Level 26,At Level 26,At Level 26,Vid nivå 26,At Level 26,Ở Cấp 26,Na Poziomie 26
52,MEOWTH,,53,PERSIAN,,At Level 28,Al Nv.28,At Level 28,Au N. 28,Al Livello 28,Auf Lv. 28,在等级28,在等級28,No Nível 28,레벨 28,Lv.28で,Al nivell 28,At Level 28,At Level 28,At Level 28,At Level 28,At Level 28,На 28 Ур.,At Level 28,At Level 28,At Level 28,At Level 28,Vid nivå 28,At Level 28,Ở Cấp 28,Na Poziomie 28
54,PSYDUCK,,55,GOLDUCK,,At Level 33,Al Nv.33,At Level 33,Au N. 33,Al Livello 33,Auf Lv. 33,在等级33,在等級33,No Nível 33,레벨 33,Lv.33で,Al nivell 33,At Level 33,At Level 33,At Level 33,At Level 33,At Level 33,На 33 Ур.,At Level 33,At Level 33,At Level 33,At Level 33,Vid nivå 33,At Level 33,Ở Cấp 33,Na Poziomie 33
56,MANKEY,,57,PRIMEAPE,,At Level 28,Al Nv.28,At Level 28,Au N. 28,Al Livello 28,Auf Lv. 28,在等级28,在等級28,No Nível 28,레벨 28,Lv.28で,Al nivell 28,At Level 28,At Level 28,At Level 28,At Level 28,At Level 28,На 28 Ур.,At Level 28,At Level 28,At Level 28,At Level 28,Vid nivå 28,At Level 28,Ở Cấp 28,Na Poziomie 28
57,PRIMEAPE,,979,ANNIHILAPE,,While knowing the move Rage Fist|At Level 35,Conociendo el movimiento Puño Furia|Al Nv.35,While knowing the move Rage Fist|At Level 35,Connaissant la capacité Poing de Colère|Au N. 35,Conoscendo la mossa Pugno Furibondo|Al Livello 35,Mit erlernter Attacke Zornesfaust|Auf Lv. 35,学会愤怒之拳招式|在等级35,學會憤怒之拳招式|在等級35,Sabendo o movimento Rage Fist|No Nível 35,분노의주먹[[를]] 배우고 있어야 함|레벨 35,「ふんどのこぶし」を 覚えていた まま|Lv.35で,While knowing the move Rage Fist|Al nivell 35,While knowing the move Rage Fist|At Level 35,While knowing the move Rage Fist|At Level 35,While knowing the move Rage Fist|At Level 35,While knowing the move Rage Fist|At Level 35,While knowing the move Rage Fist|At Level 35,Зная приём Кулак Ярости|На 35 Ур.,While knowing the move Tinju Amarah|At Level 35,While knowing the move एंगर पंच|At Level 35,While knowing the move Rage Fist|At Level 35,While knowing the move Rage Fist|At Level 35,När den kan tekniken Aggnäve|Vid nivå 35,While knowing the move Rage Fist|At Level 35,Khi đã học chiêu thức Rage Fist|Ở Cấp 35,While knowing the move Rage Fist|Na Poziomie 35
58,GROWLITHE,,59,ARCANINE,,Use the Fire Stone (Great),Usa Piedra Fuego (Súper),Use the Piedra Fuego (Great),Avec l’objet Pierre Feu (Super),Con l’oggetto Pietrafocaia(Mega),Benötigt Feuerstein (Super),使用火之石 (超级球),使用火之石 (超級球),Use Pedra do Fogo (Super),아이템 사용: 불꽃의돌 (슈퍼),ほのおのいし (スーパー)を 使う,Utilitza l’objecte Fire Stone (Súper),Use the Fire Stone (Great),Use the Fire Stone (Great),Use the Fire Stone (Great),Use the Ateş Taşı (Great),Use the Fire Stone (Great),Используйте Огненный Камень Мега,Use the Batu Api (Great),Use the Fire Stone (Great),Use the Fire Stone (Great),Use the Fire Stone (Great),Använd förmålet Eldsten (Super),Use the Вогняний Камінь (Great),Sử dụng vật phẩm Fire Stone (Great),Use the Fire Stone (Great)
60,POLIWAG,,61,POLIWHIRL,,At Level 25,Al Nv.25,At Level 25,Au N. 25,Al Livello 25,Auf Lv. 25,在等级25,在等級25,No Nível 25,레벨 25,Lv.25で,Al nivell 25,At Level 25,At Level 25,At Level 25,At Level 25,At Level 25,На 25 Ур.,At Level 25,At Level 25,At Level 25,At Level 25,Vid nivå 25,At Level 25,Ở Cấp 25,Na Poziomie 25
61,POLIWHIRL,,62,POLIWRATH,,Use the Water Stone (Great),Usa Piedra Agua (Súper),Use the Piedra Agua (Great),Avec l’objet Pierre Eau (Super),Con l’oggetto Pietraidrica(Mega),Benötigt Wasserstein (Super),使用水之石 (超级球),使用水之石 (超級球),Use Pedra da Água (Super),아이템 사용: 물의돌 (슈퍼),みずのいし (スーパー)を 使う,Utilitza l’objecte Water Stone (Súper),Use the Water Stone (Great),Use the Water Stone (Great),Use the Water Stone (Great),Use the Su Taşı (Great),Use the Water Stone (Great),Используйте Водный Камень Мега,Use the Batu Air (Great),Use the Water Stone (Great),Use the Water Stone (Great),Use the Water Stone (Great),Använd förmålet Vattensten (Super),Use the Водний Камінь (Great),Sử dụng vật phẩm Water Stone (Great),Use the Water Stone (Great)
61,POLIWHIRL,,186,POLITOED,,Use the Linking Cord (Great),Usa Cordón Unión (Súper),Use the Cordón Unión (Great),Avec l’objet Fil de Liaison (Super),Con l’oggetto Filo dell’unione(Mega),Benötigt Linkkabel (Super),使用联系绳 (超级球),使用聯繫繩 (超級球),Use Cabo de Conexão (Super),아이템 사용: 연결의끈 (슈퍼),つながりのヒモ (スーパー)を 使う,Utilitza l’objecte Linking Cord (Súper),Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Используйте Соединительный Шнур Мега,Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Använd förmålet Länkande lina (Super),Use the З’єднувальний Шнур (Great),Sử dụng vật phẩm Linking Cord (Great),Use the Linking Cord (Great)
63,ABRA,,64,KADABRA,,At Level 16,Al Nv.16,At Level 16,Au N. 16,Al Livello 16,Auf Lv. 16,在等级16,在等級16,No Nível 16,레벨 16,Lv.16で,Al nivell 16,At Level 16,At Level 16,At Level 16,At Level 16,At Level 16,На 16 Ур.,At Level 16,At Level 16,At Level 16,At Level 16,Vid nivå 16,At Level 16,Ở Cấp 16,Na Poziomie 16
64,KADABRA,,65,ALAKAZAM,,Use the Linking Cord (Great),Usa Cordón Unión (Súper),Use the Cordón Unión (Great),Avec l’objet Fil de Liaison (Super),Con l’oggetto Filo dell’unione(Mega),Benötigt Linkkabel (Super),使用联系绳 (超级球),使用聯繫繩 (超級球),Use Cabo de Conexão (Super),아이템 사용: 연결의끈 (슈퍼),つながりのヒモ (スーパー)を 使う,Utilitza l’objecte Linking Cord (Súper),Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Используйте Соединительный Шнур Мега,Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Använd förmålet Länkande lina (Super),Use the З’єднувальний Шнур (Great),Sử dụng vật phẩm Linking Cord (Great),Use the Linking Cord (Great)
66,MACHOP,,67,MACHOKE,,At Level 28,Al Nv.28,At Level 28,Au N. 28,Al Livello 28,Auf Lv. 28,在等级28,在等級28,No Nível 28,레벨 28,Lv.28で,Al nivell 28,At Level 28,At Level 28,At Level 28,At Level 28,At Level 28,На 28 Ур.,At Level 28,At Level 28,At Level 28,At Level 28,Vid nivå 28,At Level 28,Ở Cấp 28,Na Poziomie 28
67,MACHOKE,,68,MACHAMP,,Use the Linking Cord (Great),Usa Cordón Unión (Súper),Use the Cordón Unión (Great),Avec l’objet Fil de Liaison (Super),Con l’oggetto Filo dell’unione(Mega),Benötigt Linkkabel (Super),使用联系绳 (超级球),使用聯繫繩 (超級球),Use Cabo de Conexão (Super),아이템 사용: 연결의끈 (슈퍼),つながりのヒモ (スーパー)を 使う,Utilitza l’objecte Linking Cord (Súper),Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Используйте Соединительный Шнур Мега,Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Use the Linking Cord (Great),Använd förmålet Länkande lina (Super),Use the З’єднувальний Шнур (Great),Sử dụng vật phẩm Linking Cord (Great),Use the Linking Cord (Great)
69,BELLSPROUT,,70,WEEPINBELL,,At Level 21,Al Nv.21,At Level 21,Au N. 21,Al Livello 21,Auf Lv. 21,在等级21,在等級21,No Nível 21,레벨 21,Lv.21で,Al nivell 21,At Level 21,At Level 21,At Level 21,At Level 21,At Level 21,На 21 Ур.,At Level 21,At Level 21,At Level 21,At Level 21,Vid nivå 21,At Level 21,Ở Cấp 21,Na Poziomie 21
