dexNum,speciesId,preFormKey,evoFormKey,en,es-ES,es-419,fr,de,it,pr-BR,ko,ja,zh-Hans,zh-Hant,th,ca,eu,tr,ru,uk,pl,id,hi,vi,da,sv,tl
9,BLASTOISE,,mega,Activating Blastoisinite,Activando Blastoisita,Activating Blastoisita,Avec l’objet Tortankite activé,Turtoknit aktivieren,Attivando Blastoisite,Activating Blastoisinite,거북왕나이트[[를]] 통해 폼체인지,カメックスナイトを 有効に すれば,激活了水箭龟进化石,活化了水箭龜進化石,Activating Blastoisinite,Activant Blastoisinite,Activating Blastoisinite,Activating Blastoisinite,Активация Бластоизинит,Activating Бластоізініт,Aktywując: Blastoisyt,Activating Blastoisinite,Activating Blastoisinite,Kích hoạt Blastoisinite,Activating Blastoisinite,Vid aktivering av Blastoisinit,Activating Blastoisinite
9,BLASTOISE,,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
9,BLASTOISE,mega,,Deactivating Blastoisinite,Desactivando Blastoisita,Deactivating Blastoisita,Avec l’objet Tortankite désactivé,Turtoknit deaktivieren,Disattivando Blastoisite,Deactivating Blastoisinite,거북왕나이트[[를]] 통해 비활성화,カメックスナイトを 無効に すれば,禁用了水箭龟进化石,禁用了水箭龜進化石,Deactivating Blastoisinite,Desactivant Blastoisinite,Deactivating Blastoisinite,Deactivating Blastoisinite,Деактивация Бластоизинит,Deactivating Бластоізініт,Dezaktywując: Blastoisyt,Deactivating Blastoisinite,Deactivating Blastoisinite,Vô Hiệu Hoá Blastoisinite,Deactivating Blastoisinite,Vid avaktivering av Blastoisinit,Deactivating Blastoisinite
9,BLASTOISE,gigantamax,,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
12,BUTTERFREE,,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
12,BUTTERFREE,gigantamax,,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
15,BEEDRILL,,mega,Activating Beedrillite,Activando Beedrillita,Activating Beedrillita,Avec l’objet Dardargnite activé,Bibornit aktivieren,Attivando Beedrillite,Activating Beedrillite,독침붕나이트[[를]] 통해 폼체인지,スピアナイトを 有効に すれば,激活了大针蜂进化石,活化了大針蜂進化石,Activating Beedrillite,Activant Beedrillite,Activating Beedrillite,Activating Beedrillite,Активация Бидриллит,Activating Бідрілліт,Aktywując: Beedrillyt,Activating Beedrillite,Activating Beedrillite,Kích hoạt Beedrillite,Activating Beedrillite,Vid aktivering av Beedrillit,Activating Beedrillite
15,BEEDRILL,mega,,Deactivating Beedrillite,Desactivando Beedrillita,Deactivating Beedrillita,Avec l’objet Dardargnite désactivé,Bibornit deaktivieren,Disattivando Beedrillite,Deactivating Beedrillite,독침붕나이트[[를]] 통해 비활성화,スピアナイトを 無効に すれば,禁用了大针蜂进化石,禁用了大針蜂進化石,Deactivating Beedrillite,Desactivant Beedrillite,Deactivating Beedrillite,Deactivating Beedrillite,Деактивация Бидриллит,Deactivating Бідрілліт,Dezaktywując: Beedrillyt,Deactivating Beedrillite,Deactivating Beedrillite,Vô Hiệu Hoá Beedrillite,Deactivating Beedrillite,Vid avaktivering av Beedrillit,Deactivating Beedrillite
18,PIDGEOT,,mega,Activating Pidgeotite,Activando Pidgeotita,Activating Pidgeotita,Avec l’objet Roucarnagite activé,Taubossnit aktivieren,Attivando Pidgeotite,Activating Pidgeotite,피죤투나이트[[를]] 통해 폼체인지,ピジョットナイトを 有効に すれば,激活了大比鸟进化石,活化了大比鳥進化石,Activating Pidgeotite,Activant Pidgeotite,Activating Pidgeotite,Activating Pidgeotite,Активация Пиджеотит,Activating Піджеотит,Aktywując: Pidgeotyt,Activating Pidgeotite,Activating Pidgeotite,Kích hoạt Pidgeotite,Activating Pidgeotite,Vid aktivering av Pidgeotit,Activating Pidgeotite
18,PIDGEOT,mega,,Deactivating Pidgeotite,Desactivando Pidgeotita,Deactivating Pidgeotita,Avec l’objet Roucarnagite désactivé,Taubossnit deaktivieren,Disattivando Pidgeotite,Deactivating Pidgeotite,피죤투나이트[[를]] 통해 비활성화,ピジョットナイトを 無効に すれば,禁用了大比鸟进化石,禁用了大比鳥進化石,Deactivating Pidgeotite,Desactivant Pidgeotite,Deactivating Pidgeotite,Deactivating Pidgeotite,Деактивация Пиджеотит,Deactivating Піджеотит,Dezaktywując: Pidgeotyt,Deactivating Pidgeotite,Deactivating Pidgeotite,Vô Hiệu Hoá Pidgeotite,Deactivating Pidgeotite,Vid avaktivering av Pidgeotit,Deactivating Pidgeotite
25,PIKACHU,,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
25,PIKACHU,partner,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
25,PIKACHU,gigantamax,,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
25,PIKACHU,gigantamax,partner,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
26,RAICHU,,mega-x,Activating Raichunite X,Activando Raichunita X,Activating Raichunita X,Avec l’objet Raichuïte X activé,Raichunit X aktivieren,Attivando Raichunite X,Activating Raichunite X,라이츄나이트 X[[를]] 통해 폼체인지,ライチュウナイトＸを 有効に すれば,激活了雷丘进化石Ｘ,活化了雷超進化石Ｘ,Activating Raichunite X,Activant Raichunite X,Activating Raichunite X,Activating Raichunite X,Активация Райчунит X,Activating Raichunite X,Aktywując: Raichunit X,Activating Raichunite X,Activating Raichunite X,Kích hoạt Raichunite X,Activating Raichunite X,Vid aktivering av Raichunit X,Activating Raichunite X
26,RAICHU,,mega-y,Activating Raichunite Y,Activando Raichunita Y,Activating Raichunita Y,Avec l’objet Raichuïte Y activé,Raichunit Y aktivieren,Attivando Raichunite Y,Activating Raichunite Y,라이츄나이트 Y[[를]] 통해 폼체인지,ライチュウナイトＹを 有効に すれば,激活了雷丘进化石Ｙ,活化了雷超進化石Ｙ,Activating Raichunite Y,Activant Raichunite Y,Activating Raichunite Y,Activating Raichunite Y,Активация Райчунит Y,Activating Raichunite Y,Aktywując: Raichunit Y,Activating Raichunite Y,Activating Raichunite Y,Kích hoạt Raichunite Y,Activating Raichunite Y,Vid aktivering av Raichunit Y,Activating Raichunite Y
26,RAICHU,mega-x,,Deactivating Raichunite X,Desactivando Raichunita X,Deactivating Raichunita X,Avec l’objet Raichuïte X désactivé,Raichunit X deaktivieren,Disattivando Raichunite X,Deactivating Raichunite X,라이츄나이트 X[[를]] 통해 비활성화,ライチュウナイトＸを 無効に すれば,禁用了雷丘进化石Ｘ,禁用了雷超進化石Ｘ,Deactivating Raichunite X,Desactivant Raichunite X,Deactivating Raichunite X,Deactivating Raichunite X,Деактивация Райчунит X,Deactivating Raichunite X,Dezaktywując: Raichunit X,Deactivating Raichunite X,Deactivating Raichunite X,Vô Hiệu Hoá Raichunite X,Deactivating Raichunite X,Vid avaktivering av Raichunit X,Deactivating Raichunite X
26,RAICHU,mega-y,,Deactivating Raichunite Y,Desactivando Raichunita Y,Deactivating Raichunita Y,Avec l’objet Raichuïte Y désactivé,Raichunit Y deaktivieren,Disattivando Raichunite Y,Deactivating Raichunite Y,라이츄나이트 Y[[를]] 통해 비활성화,ライチュウナイトＹを 無効に すれば,禁用了雷丘进化石Ｙ,禁用了雷超進化石Ｙ,Deactivating Raichunite Y,Desactivant Raichunite Y,Deactivating Raichunite Y,Deactivating Raichunite Y,Деактивация Райчунит Y,Deactivating Raichunite Y,Dezaktywując: Raichunit Y,Deactivating Raichunite Y,Deactivating Raichunite Y,Vô Hiệu Hoá Raichunite Y,Deactivating Raichunite Y,Vid avaktivering av Raichunit Y,Deactivating Raichunite Y
36,CLEFABLE,,mega,Activating Clefablite,Activando Clefablita,Activating Clefablita,Avec l’objet Mélodelfite activé,Pixinit aktivieren,Attivando Clefablite,Activating Clefablite,픽시나이트[[를]] 통해 폼체인지,ピクシナイトを 有効に すれば,激活了皮可西进化石,活化了皮可西進化石,Activating Clefablite,Activant Clefablite,Activating Clefablite,Activating Clefablite,Активация Клефейблит,Activating Клефабліт,Aktywując: Clefablit,Activating Clefablite,Activating Clefablite,Kích hoạt Clefablite,Activating Clefablite,Vid aktivering av Clefablit,Activating Clefablite
36,CLEFABLE,mega,,Deactivating Clefablite,Desactivando Clefablita,Deactivating Clefablita,Avec l’objet Mélodelfite désactivé,Pixinit deaktivieren,Disattivando Clefablite,Deactivating Clefablite,픽시나이트[[를]] 통해 비활성화,ピクシナイトを 無効に すれば,禁用了皮可西进化石,禁用了皮可西進化石,Deactivating Clefablite,Desactivant Clefablite,Deactivating Clefablite,Deactivating Clefablite,Деактивация Клефейблит,Deactivating Клефабліт,Dezaktywując: Clefablit,Deactivating Clefablite,Deactivating Clefablite,Vô Hiệu Hoá Clefablite,Deactivating Clefablite,Vid avaktivering av Clefablit,Deactivating Clefablite
52,MEOWTH,,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
52,MEOWTH,gigantamax,,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
65,ALAKAZAM,,mega,Activating Alakazite,Activando Alakazamita,Activating Alakazamita,Avec l’objet Alakazamite activé,Simsalanit aktivieren,Attivando Alakazamite,Activating Alakazite,후딘나이트[[를]] 통해 폼체인지,フーディナイトを 有効に すれば,激活了胡地进化石,活化了胡地進化石,Activating Alakazite,Activant Alakazite,Activating Alakazite,Activating Alakazite,Активация Алаказайт,Activating Алаказайт,Aktywując: Alakazamyt,Activating Alakazite,Activating Alakazite,Kích hoạt Alakazite,Activating Alakazite,Vid aktivering av Alakazit,Activating Alakazite
65,ALAKAZAM,mega,,Deactivating Alakazite,Desactivando Alakazamita,Deactivating Alakazamita,Avec l’objet Alakazamite désactivé,Simsalanit deaktivieren,Disattivando Alakazamite,Deactivating Alakazite,후딘나이트[[를]] 통해 비활성화,フーディナイトを 無効に すれば,禁用了胡地进化石,禁用了胡地進化石,Deactivating Alakazite,Desactivant Alakazite,Deactivating Alakazite,Deactivating Alakazite,Деактивация Алаказайт,Deactivating Алаказайт,Dezaktywując: Alakazamyt,Deactivating Alakazite,Deactivating Alakazite,Vô Hiệu Hoá Alakazite,Deactivating Alakazite,Vid avaktivering av Alakazit,Deactivating Alakazite
68,MACHAMP,,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
68,MACHAMP,gigantamax,,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
71,VICTREEBEL,,mega,Activating Victreebelite,Activando Victreebelita,Activating Victreebelita,Avec l’objet Empiflorite activé,Sarzenianit aktivieren,Attivando Victreebelite,Activating Victreebelite,우츠보트나이트[[를]] 통해 폼체인지,ウツボットナイトを 有効に すれば,激活了大食花进化石,活化了大食花進化石,Activating Victreebelite,Activant Victreebelite,Activating Victreebelite,Activating Victreebelite,Активация Виктрибелит,Activating Віктрибеліт,Aktywując: Victreebelit,Activating Victreebelite,Activating Victreebelite,Kích hoạt Victreebelite,Activating Victreebelite,Vid aktivering av Victreebelit,Activating Victreebelite
71,VICTREEBEL,mega,,Deactivating Victreebelite,Desactivando Victreebelita,Deactivating Victreebelita,Avec l’objet Empiflorite désactivé,Sarzenianit deaktivieren,Disattivando Victreebelite,Deactivating Victreebelite,우츠보트나이트[[를]] 통해 비활성화,ウツボットナイトを 無効に すれば,禁用了大食花进化石,禁用了大食花進化石,Deactivating Victreebelite,Desactivant Victreebelite,Deactivating Victreebelite,Deactivating Victreebelite,Деактивация Виктрибелит,Deactivating Віктрибеліт,Dezaktywując: Victreebelit,Deactivating Victreebelite,Deactivating Victreebelite,Vô Hiệu Hoá Victreebelite,Deactivating Victreebelite,Vid avaktivering av Victreebelit,Deactivating Victreebelite
80,SLOWBRO,,mega,Activating Slowbronite,Activando Slowbronita,Activating Slowbronita,Avec l’objet Flagadossite activé,Lahmusnit aktivieren,Attivando Slowbroite,Activating Slowbronite,야도란나이트[[를]] 통해 폼체인지,ヤドランナイトを 有効に すれば,激活了呆壳兽进化石,活化了呆殼獸進化石,Activating Slowbronite,Activant Slowbronite,Activating Slowbronite,Activating Slowbronite,Активация Слоубронит,Activating Слоуброніт,Aktywując: Slowbronit,Activating Slowbronite,Activating Slowbronite,Kích hoạt Slowbronite,Activating Slowbronite,Vid aktivering av Slowbronit,Activating Slowbronite
80,SLOWBRO,mega,,Deactivating Slowbronite,Desactivando Slowbronita,Deactivating Slowbronita,Avec l’objet Flagadossite désactivé,Lahmusnit deaktivieren,Disattivando Slowbroite,Deactivating Slowbronite,야도란나이트[[를]] 통해 비활성화,ヤドランナイトを 無効に すれば,禁用了呆壳兽进化石,禁用了呆殼獸進化石,Deactivating Slowbronite,Desactivant Slowbronite,Deactivating Slowbronite,Deactivating Slowbronite,Деактивация Слоубронит,Deactivating Слоуброніт,Dezaktywując: Slowbronit,Deactivating Slowbronite,Deactivating Slowbronite,Vô Hiệu Hoá Slowbronite,Deactivating Slowbronite,Vid avaktivering av Slowbronit,Deactivating Slowbronite
94,GENGAR,,mega,Activating Gengarite,Activando Gengarita,Activating Gengarita,Avec l’objet Ectoplasmite activé,Gengarnit  aktivieren,Attivando Gengarite,Activating Gengarite,팬텀나이트[[를]] 통해 폼체인지,ゲンガナイトを 有効に すれば,激活了耿鬼进化石,活化了耿鬼進化石,Activating Gengarite,Activant Gengarite,Activating Gengarite,Activating Gengarite,Активация Генгарит,Activating Генгарит,Aktywując: Gengaryt,Activating Gengarite,Activating Gengarite,Kích hoạt Gengarite,Activating Gengarite,Vid aktivering av Gengarit,Activating Gengarite
